MATR_ALUNO,ANO,PERIODO,n_disciplinas_anteriores,taxa_aprovacao_historica,n_reprovacoes_historico,disciplina_ja_cursada,n_vezes_disciplina,MEDIA_FINAL_PRED,NUM_FALTAS_PRED,disc_1,disc_2,disc_3,disc_4,disc_5,TARGET
76,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
76,2014,2,2,0.0,2,True,2,8.326055014430015,45.19195424836601,0,1,0,0,0,REPROVADO
77,2013,2,1,0.0,0,False,0,36.971557109557104,47.74175925925926,0,0,0,1,0,APROVADO
78,2013,2,0,0.5,0,False,0,25.176179650645857,23.932593247748535,0,0,0,1,0,REPROVADO
78,2013,2,0,0.5,0,False,0,22.59047550448338,20.876936250613195,0,0,0,0,1,REPROVADO
79,2013,1,0,0.5,0,False,0,73.83869256791992,10.427194349869195,1,0,0,0,0,REPROVADO
80,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
80,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,APROVADO
81,2013,1,0,0.5,0,False,0,73.83869256791992,10.427194349869195,1,0,0,0,0,APROVADO
82,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
82,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
82,2014,1,2,0.0,2,True,1,56.15637566137569,18.07395238095237,0,1,0,0,0,APROVADO
82,2014,1,2,0.0,2,True,1,50.59780952380953,24.42599206349207,0,0,0,1,0,APROVADO
82,2013,1,4,0.25,3,True,2,35.404130900098295,15.640899711399719,0,0,0,0,1,REPROVADO
82,2013,2,4,0.25,3,False,0,51.62443012760661,18.53166044104293,0,0,0,0,1,APROVADO
83,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,APROVADO
83,2013,1,1,0.0,1,False,0,20.011936507936504,22.10746031746032,0,0,0,0,1,REPROVADO
83,2013,2,1,0.0,1,True,1,19.930296469340192,18.445667880766177,0,0,0,0,1,APROVADO
84,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
84,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
84,2015,1,0,0.5,0,False,0,40.207075718891694,20.97951869461151,0,1,0,0,0,REPROVADO
84,2016,1,3,0.3333333333333333,2,True,1,49.25535714285714,12.011402500850838,0,1,0,0,0,REPROVADO
84,2016,2,4,0.25,3,True,2,20.299769841269836,22.616968870441436,0,1,0,0,0,REPROVADO
84,2017,1,5,0.2,4,True,3,3.636349206349205,53.46228571428572,0,1,0,0,0,REPROVADO
84,2017,2,5,0.2,4,True,1,2.558555555555556,50.30812352981831,0,1,0,0,0,REPROVADO
84,2013,1,7,0.14285714285714285,6,True,4,11.40188888888889,28.676095238095233,0,0,0,1,0,REPROVADO
84,2016,1,8,0.125,7,True,5,29.17611111111111,27.716222222222218,0,0,0,1,0,REPROVADO
84,2017,1,8,0.125,7,True,2,7.430923280423279,14.499841269841273,0,0,0,1,0,REPROVADO
84,2017,2,10,0.1,9,True,6,21.768138888888892,29.167777777777772,0,0,0,1,0,REPROVADO
84,2013,1,10,0.1,9,True,3,63.23687678062679,25.129571428571428,0,0,0,0,1,APROVADO
85,2013,2,0,0.5,0,False,0,64.27774497267146,23.435133860524004,1,0,0,0,0,APROVADO
85,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
85,2014,1,0,0.5,0,False,0,39.30623260578766,18.298487000439444,0,1,0,0,0,REPROVADO
85,2013,1,4,0.0,1,False,0,31.68966666666667,32.92020085470086,0,0,1,0,0,REPROVADO
85,2013,2,4,0.0,1,True,1,66.96197685185184,33.63453855621502,0,0,1,0,0,APROVADO
85,2014,1,7,0.2857142857142857,2,True,2,12.288778998779,55.68987386087385,0,0,0,1,0,REPROVADO
85,2014,1,7,0.2857142857142857,2,True,1,29.563298402444687,52.94647374847374,0,0,0,0,1,REPROVADO
86,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
86,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
86,2013,1,0,0.5,0,False,0,36.322895370727025,21.20370569961324,0,0,0,1,0,REPROVADO
86,2013,1,3,0.3333333333333333,2,True,1,66.41576587301589,12.32776770506182,0,0,0,0,1,APROVADO
87,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
87,2013,2,1,0.0,1,True,1,19.18801373347154,30.091626099426914,0,1,0,0,0,REPROVADO
87,2014,1,2,0.0,2,False,0,15.903690476190475,31.286984126984134,0,0,0,0,1,REPROVADO
88,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
88,2013,2,0,0.5,0,False,0,34.28442127800324,18.467629189871733,0,1,0,0,0,REPROVADO
88,2014,1,2,0.0,2,True,1,56.15637566137569,18.07395238095237,0,1,0,0,0,REPROVADO
88,2014,2,2,0.0,2,True,1,10.099808982683985,40.44422312763489,0,1,0,0,0,REPROVADO
88,2013,1,4,0.25,3,True,2,35.404130900098295,15.640899711399719,0,0,0,0,1,REPROVADO
88,2013,2,5,0.2,4,True,3,36.10354234654236,14.104101139601138,0,0,0,0,1,APROVADO
89,2013,1,0,0.5,0,False,0,36.25337273310327,13.990017880138263,0,1,0,0,0,REPROVADO
